player_name,team_name,position,price,total_points,points_per_game,form,minutes,selected_by_percent,expected_goals,expected_assists,expected_goal_involvements,xgi_per_90,value_season
David Raya Martín,Arsenal,GK,6.0,6,6.0,6.0,90,37.8,0.0,0.0,0.0,0.0,1.0
Kepa Arrizabalaga Revuelta,Arsenal,GK,5.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Illan Meslier,Arsenal,GK,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel dos Santos Magalhães,Arsenal,DEF,8.0,5,5.0,5.0,90,29.6,0.05,0.01,0.06,0.06,0.625
Jurriën Timber,Arsenal,DEF,6.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
William Saliba,Arsenal,DEF,6.0,0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0
Myles Lewis-Skelly,Arsenal,MID,5.5,3,3.0,3.0,90,0.7,0.06,0.11,0.17,0.17,0.5454545454545454
Riccardo Calafiori,Arsenal,DEF,5.5,9,9.0,9.0,80,40.2,0.04,0.09,0.13,0.14625000000000002,1.6363636363636365
Piero Hincapié,Arsenal,DEF,5.5,1,1.0,1.0,9,1.7,0.0,0.0,0.0,0.0,0.18181818181818182
Benjamin White,Arsenal,DEF,5.5,11,11.0,11.0,90,5.0,0.18,0.21,0.39,0.38999999999999996,2.0
Cristhian Mosquera,Arsenal,DEF,5.5,6,6.0,6.0,90,6.2,0.0,0.0,0.0,0.0,1.0909090909090908
Bukayo Saka,Arsenal,MID,9.5,9,9.0,9.0,67,9.9,0.64,0.08,0.72,0.9671641791044775,0.9473684210526315
Declan Rice,Arsenal,MID,7.5,3,3.0,3.0,67,17.9,0.07,0.08,0.15,0.20149253731343283,0.4
Eberechi Eze,Arsenal,MID,6.5,1,1.0,1.0,14,2.0,0.04,0.0,0.04,0.2571428571428571,0.15384615384615385
Martin Ødegaard,Arsenal,MID,6.5,11,11.0,11.0,75,9.3,0.21,0.1,0.31,0.372,1.6923076923076923
Noni Madueke,Arsenal,MID,6.5,1,1.0,1.0,22,0.3,0.0,0.04,0.04,0.16363636363636364,0.15384615384615385
Mikel Merino Zazón,Arsenal,MID,6.0,1,1.0,1.0,14,0.7,0.14,0.02,0.16,1.0285714285714285,0.16666666666666666
Gabriel Martinelli Silva,Arsenal,MID,6.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Martín Zubimendi Ibáñez,Arsenal,MID,5.5,1,1.0,1.0,22,1.1,0.0,0.02,0.02,0.08181818181818182,0.18181818181818182
Max Dowman,Arsenal,MID,5.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Ethan Nwaneri,Arsenal,MID,5.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Fábio Ferreira Vieira,Arsenal,MID,5.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Reiss Nelson,Arsenal,MID,5.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Viktor Gyökeres,Arsenal,FWD,7.5,0,0.0,0.0,0,8.5,0.0,0.0,0.0,0.0,0.0
Kai Havertz,Arsenal,FWD,7.5,6,6.0,6.0,90,6.1,0.26,0.03,0.29,0.29,0.8
Gabriel Fernando de Jesus,Arsenal,FWD,6.0,0,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0.0
Ezri Konsa Ngoyo,Arsenal,DEF,4.5,0,0.0,0.0,0,12.4,0.0,0.0,0.0,0.0,0.0
Bruno Guimarães Rodriguez Moura,Arsenal,MID,7.0,0,0.0,0.0,0,3.8,0.0,0.0,0.0,0.0,0.0
Christos Tzolis,Arsenal,MID,6.5,6,6.0,6.0,75,25.4,0.19,0.14,0.33,0.396,0.9230769230769231
Emiliano Martínez Romero,Aston Villa,GK,5.0,0,0.0,0.0,0,4.4,0.0,0.0,0.0,0.0,0.0
Marco Bizot,Aston Villa,GK,4.5,1,1.0,1.0,90,0.1,0.0,0.0,0.0,0.0,0.2222222222222222
Lucas Digne,Aston Villa,DEF,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Matty Cash,Aston Villa,DEF,4.5,-1,-1.0,-1.0,90,8.8,0.0,0.0,0.0,0.0,-0.2222222222222222
Tyrone Mings,Aston Villa,DEF,4.5,1,1.0,1.0,16,0.4,0.0,0.0,0.0,0.0,0.2222222222222222
Pau Torres,Aston Villa,DEF,4.5,0,0.0,0.0,73,0.5,0.0,0.0,0.0,0.0,0.0
Lamare Bogarde,Aston Villa,MID,5.0,1,1.0,1.0,16,0.1,0.0,0.0,0.0,0.0,0.2
Ian Maatsen,Aston Villa,DEF,4.5,0,0.0,0.0,81,0.8,0.04,0.0,0.04,0.044444444444444446,0.0
Victor Lindelöf,Aston Villa,DEF,4.5,-2,-2.0,-2.0,90,0.3,0.0,0.0,0.0,0.0,-0.4444444444444444
Andrés García,Aston Villa,DEF,4.0,0,0.0,0.0,0,1.8,0.0,0.0,0.0,0.0,0.0
Kosta Nedeljkovic,Aston Villa,DEF,4.0,0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0
Emiliano Buendía Stati,Aston Villa,MID,6.0,2,2.0,2.0,85,1.4,0.13,0.09,0.22,0.23294117647058826,0.3333333333333333
Leon Bailey,Aston Villa,MID,5.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
John McGinn,Aston Villa,MID,5.5,1,1.0,1.0,81,3.2,0.04,0.01,0.05,0.05555555555555555,0.18181818181818182
Ross Barkley,Aston Villa,MID,5.0,2,2.0,2.0,73,0.2,0.1,0.02,0.12,0.14794520547945206,0.4
Boubacar Kamara,Aston Villa,MID,5.0,2,2.0,2.0,90,0.4,0.0,0.0,0.0,0.0,0.4
Amadou Onana,Aston Villa,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Iling-Junior,Aston Villa,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bradley Burrowes,Aston Villa,MID,4.5,0,0.0,0.0,0,0.7,0.0,0.0,0.0,0.0,0.0
George Hemmings,Aston Villa,MID,4.5,2,2.0,2.0,90,0.7,0.0,0.02,0.02,0.02,0.4444444444444444
Alysson Edward Franco da Rocha dos Santos,Aston Villa,MID,5.0,1,1.0,1.0,8,0.0,0.0,0.0,0.0,0.0,0.2
Johan Manzambi,Aston Villa,MID,6.0,0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0
Joao Gomes,Aston Villa,MID,5.5,-2,-2.0,-2.0,39,0.1,0.0,0.01,0.01,0.023076923076923078,-0.36363636363636365
Ollie Watkins,Aston Villa,FWD,8.0,0,0.0,0.0,0,10.2,0.0,0.0,0.0,0.0,0.0
Tammy Abraham,Aston Villa,FWD,5.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Alejandro Garnacho Ferreyra,Aston Villa,MID,6.0,1,1.0,1.0,4,0.6,0.0,0.0,0.0,0.0,0.16666666666666666
Brian Madjo,Aston Villa,FWD,5.5,0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0
Matteo Ruggeri,Aston Villa,DEF,4.5,1,1.0,1.0,8,0.1,0.0,0.0,0.0,0.0,0.2222222222222222
Zion Suzuki,Aston Villa,GK,5.0,0,0.0,0.0,0,0.8,0.0,0.0,0.0,0.0,0.0
Triston Rowe,Aston Villa,DEF,4.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Đorđe Petrović,Bournemouth,GK,4.5,2,2.0,2.0,90,3.3,0.0,0.0,0.0,0.0,0.4444444444444444
Fraser Forster,Bournemouth,GK,4.0,0,0.0,0.0,0,3.2,0.0,0.0,0.0,0.0,0.0
Will Dennis,Bournemouth,GK,4.0,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
James Hill,Bournemouth,DEF,5.5,1,1.0,1.0,90,0.9,0.0,0.0,0.0,0.0,0.18181818181818182
Adrien Truffert,Bournemouth,DEF,5.5,1,1.0,1.0,90,4.4,0.0,0.0,0.0,0.0,0.18181818181818182
Bafodé Diakité,Bournemouth,DEF,5.0,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Veljko Milosavljevic,Bournemouth,DEF,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Smith,Bournemouth,DEF,4.5,1,1.0,1.0,90,0.1,0.0,0.0,0.0,0.0,0.2222222222222222
Julián Araujo Zúñiga,Bournemouth,DEF,4.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Julio Soler Barreto,Bournemouth,DEF,4.0,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Rayan Vitor Simplício Rocha,Bournemouth,MID,6.5,2,2.0,2.0,88,2.8,0.04,0.03,0.07,0.0715909090909091,0.3076923076923077
Marcus Tavernier,Bournemouth,MID,6.0,10,10.0,10.0,90,1.7,0.4,0.03,0.43,0.43,1.6666666666666667
Alex Scott,Bournemouth,MID,6.0,2,2.0,2.0,90,1.5,0.0,0.01,0.01,0.01,0.3333333333333333
Justin Kluivert,Bournemouth,MID,6.0,3,3.0,3.0,74,1.2,0.11,0.0,0.11,0.13378378378378378,0.5
Lewis Cook,Bournemouth,MID,5.0,3,3.0,3.0,75,0.2,0.0,0.0,0.0,0.0,0.6
Ben Gannon-Doak,Bournemouth,MID,5.0,1,1.0,1.0,1,0.1,0.0,0.0,0.0,0.0,0.2
Tyler Adams,Bournemouth,MID,5.0,1,1.0,1.0,15,0.2,0.0,0.0,0.0,0.0,0.2
David Brooks,Bournemouth,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Christie,Bournemouth,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Tóth,Bournemouth,MID,5.0,1,1.0,1.0,15,0.0,0.0,0.0,0.0,0.0,0.2
Amine Adli,Bournemouth,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Junior Kroupi,Bournemouth,MID,7.5,0,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0.0
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,6.0,4,4.0,4.0,74,2.4,0.0,0.21,0.21,0.2554054054054054,0.6666666666666666
Enes Ünal,Bournemouth,FWD,5.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Rodríguez,Bournemouth,FWD,6.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
António João Pereira de Albuquerque Tavares da Silva,Bournemouth,DEF,5.0,2,2.0,2.0,90,0.3,0.0,0.0,0.0,0.0,0.4
Juanlu Sánchez,Bournemouth,DEF,4.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Caoimhín Kelleher,Brentford,GK,5.0,7,7.0,7.0,90,5.9,0.0,0.01,0.01,0.01,1.4
Hákon Rafn Valdimarsson,Brentford,GK,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Nathan Collins,Brentford,DEF,5.5,6,6.0,6.0,90,1.9,0.34,0.04,0.38,0.38000000000000006,1.0909090909090908
Sepp van den Berg,Brentford,DEF,5.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Keane Lewis-Potter,Brentford,MID,5.5,10,10.0,10.0,90,0.6,0.77,0.12,0.89,0.8900000000000001,1.8181818181818181
Kristoffer Ajer,Brentford,DEF,4.5,8,8.0,8.0,90,3.6,0.11,0.02,0.13,0.13,1.7777777777777777
Michael Kayode,Brentford,DEF,4.5,13,13.0,13.0,75,4.1,0.5,0.0,0.5,0.6000000000000001,2.888888888888889
Rico Henry,Brentford,DEF,4.5,0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0
Aaron Hickey,Brentford,DEF,4.5,1,1.0,1.0,14,0.1,0.0,0.0,0.0,0.0,0.2222222222222222
Ethan Pinnock,Brentford,DEF,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Kim Ji-soo,Brentford,DEF,4.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Jannik Schuster,Brentford,DEF,4.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Kevin Schade,Brentford,MID,6.0,3,3.0,3.0,90,3.6,0.52,0.01,0.53,0.53,0.5
Dango Ouattara,Brentford,MID,6.5,3,3.0,3.0,66,1.2,0.05,0.29,0.34,0.4636363636363637,0.46153846153846156
