can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,price_change_hourly_rate,price_change_projections,price_change_locked_until,price_change_calibrating,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,team_name,price
True,True,,,154561,0,0,0,0,3.0,410,"[{'offset': 0, 'projected_percent': '4.1', 'likelihood': 1}, {'offset': 1, 'projected_percent': '10.2', 'likelihood': 1}, {'offset': 2, 'projected_percent': '16.2', 'likelihood': 1}]",,False,0,1,4.0,4.0,6,David,6.0,1,False,,,60,154561.jpg,6.0,False,Raya Martín,37.8,False,,a,1,3,6,21771,21771,16273,16273,1.0,1.0,Raya,,200.0,2024-07-04,1995-09-15,False,p154561,90,0,0,1,0,0,0,0,0,0,1,0,24,0.0,0.0,0.0,0.0,1,8,0,0,1,0.00,0.00,0.00,0.20,,,,,,,[],,498.0,67.0,498.0,67.0,498.0,67.0,498.0,67.0,0.0,1.0,0.0,0.0,0.2,0.0,60.0,1.0,55.0,6.0,55.0,6.0,7.0,1.0,1.0,1.0,0.0,Arsenal,6.0
True,True,,,109745,0,0,0,0,-25.1,-16,"[{'offset': 0, 'projected_percent': '-30.8', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-60.1', 'likelihood': -4}, {'offset': 2, 'projected_percent': '-89.3', 'likelihood': -5}]",,False,0,1,2.6,2.6,0,Kepa,0.0,2,False,,,50,109745.jpg,0.0,False,Arrizabalaga Revuelta,0.1,False,,a,1,3,0,102,102,448,448,0.0,0.0,Arrizabalaga,,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,218.0,51.0,218.0,51.0,218.0,51.0,218.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,9.0,414.0,61.0,414.0,61.0,445.0,49.0,0.0,0.0,0.0,Arsenal,5.0
True,True,,,437495,0,0,0,0,-19.7,-6,"[{'offset': 0, 'projected_percent': '-24.9', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-52.1', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-79.3', 'likelihood': -4}]",,False,0,1,2.6,2.6,0,Illan,0.0,3,False,,,50,437495.jpg,0.0,False,Meslier,0.0,False,,a,1,3,0,39,39,154,154,0.0,0.0,Meslier,,73.0,2026-07-09,2000-03-02,False,p437495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,283.0,58.0,283.0,58.0,283.0,58.0,283.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,16.0,454.0,65.0,454.0,65.0,515.0,59.0,0.0,0.0,0.0,Arsenal,5.0
True,True,,,226597,0,0,0,0,-2.3,-284,"[{'offset': 0, 'projected_percent': '-2.6', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-4.0', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-5.5', 'likelihood': -1}]",,False,0,2,4.0,4.0,5,Gabriel,5.0,4,False,,,80,226597.jpg,5.0,False,dos Santos Magalhães,29.6,False,,a,1,3,5,13582,13582,27861,27861,0.6,0.6,Gabriel,Gabriel Magalhães,30.0,2020-09-01,1997-12-19,False,p226597,90,0,0,1,0,0,0,0,1,0,0,0,21,0.0,0.0,0.0,0.0,4,2,0,4,1,0.05,0.01,0.06,0.20,,,,,,,[],,595.0,199.0,595.0,199.0,595.0,199.0,595.0,199.0,0.05,0.0,0.01,0.06,0.2,0.0,9.0,1.0,66.0,28.0,66.0,28.0,9.0,2.0,1.0,1.0,4.0,Arsenal,8.0
True,True,0.0,0.0,445122,0,0,0,0,-17.8,-37,"[{'offset': 0, 'projected_percent': '-21.1', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-38.3', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-55.5', 'likelihood': -3}]",,False,0,2,0.0,0.0,0,Jurriën,0.0,5,False,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,65,445122.jpg,0.0,False,Timber,0.1,False,,i,1,3,0,137,137,1105,1105,0.0,0.0,J.Timber,Jurriën Timber,152.0,2023-07-14,2001-06-17,False,p445122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],https://www.arsenal.com/news/every-word-from-mikel-artetas-pre-coventry-presser-agLtL1y0uKj3?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_term=content-card,566.0,197.0,566.0,197.0,566.0,197.0,566.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,585.0,197.0,585.0,197.0,409.0,146.0,0.0,0.0,0.0,Arsenal,6.5
True,True,0.0,0.0,462424,0,0,0,0,-17.1,-83,"[{'offset': 0, 'projected_percent': '-20.1', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-35.9', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-51.6', 'likelihood': -3}]",,False,0,2,0.0,0.0,0,William,0.0,6,False,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,60,462424.jpg,0.0,False,Saliba,0.3,False,,i,1,3,0,346,346,2620,2620,0.0,0.0,Saliba,,73.0,2019-07-25,2001-03-24,False,p462424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],https://www.arsenal.com/news/every-word-from-mikel-artetas-pre-coventry-presser-agLtL1y0uKj3?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_term=content-card,526.0,194.0,526.0,194.0,526.0,194.0,526.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,9.0,568.0,196.0,568.0,196.0,299.0,111.0,0.0,0.0,0.0,Arsenal,6.0
True,True,,,499169,0,0,0,0,0.9,-3,"[{'offset': 0, 'projected_percent': '0.9', 'likelihood': 1}, {'offset': 1, 'projected_percent': '0.9', 'likelihood': 1}, {'offset': 2, 'projected_percent': '0.8', 'likelihood': 1}]",,False,0,3,2.0,2.0,3,Myles,3.0,7,False,,,55,499169.jpg,3.0,False,Lewis-Skelly,0.7,False,,a,1,3,3,3609,3609,2235,2235,0.5,0.5,Lewis-Skelly,,241.0,2022-12-04,2006-09-26,False,p499169,90,0,0,1,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,1,5,1,7,1,0.06,0.11,0.17,0.20,,,,,,,[],,464.0,176.0,464.0,176.0,464.0,176.0,464.0,176.0,0.06,0.0,0.11,0.17,0.2,0.0,195.0,120.0,91.0,40.0,91.0,40.0,223.0,71.0,1.0,1.0,7.0,Arsenal,5.5
True,True,,,466075,0,0,0,0,51.7,4302,"[{'offset': 0, 'projected_percent': '64.0', 'likelihood': 4}, {'offset': 1, 'projected_percent': '127.2', 'likelihood': 5}, {'offset': 2, 'projected_percent': '190.4', 'likelihood': 5}]",,False,0,2,2.5,2.5,9,Riccardo,9.0,8,False,,,55,466075.jpg,9.0,False,Calafiori,40.2,False,,a,1,3,9,102122,102122,8411,8411,1.6,1.6,Calafiori,,106.0,2024-07-29,2002-05-19,False,p466075,80,0,1,1,0,0,0,0,0,0,0,0,31,0.0,0.0,0.0,0.0,4,1,1,5,1,0.04,0.09,0.13,0.06,,,,,,,[],,448.0,180.0,448.0,180.0,448.0,180.0,448.0,180.0,0.04,0.0,0.1,0.14,0.07,0.0,179.0,25.0,22.0,9.0,22.0,9.0,5.0,1.0,1.12,1.12,5.62,Arsenal,5.5
True,True,,,448104,0,0,0,0,-44.9,-553,"[{'offset': 0, 'projected_percent': '-54.4', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-103.3', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-152.2', 'likelihood': -5}]",,False,0,2,2.5,2.5,1,Piero,1.0,9,False,,,55,448104.jpg,1.0,False,Hincapié,1.7,False,,a,1,3,1,1381,1381,14404,14404,0.2,0.2,Hincapie,,62.0,2026-07-01,2002-01-09,False,p448104,9,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.15,,,,,,,[],,438.0,177.0,438.0,177.0,438.0,177.0,438.0,177.0,0.0,0.0,0.0,0.0,1.5,0.0,169.0,22.0,231.0,85.0,231.0,85.0,139.0,56.0,0.0,0.0,0.0,Arsenal,5.5
True,True,100.0,100.0,198869,0,0,0,0,15.7,1301,"[{'offset': 0, 'projected_percent': '19.4', 'likelihood': 1}, {'offset': 1, 'projected_percent': '38.5', 'likelihood': 2}, {'offset': 2, 'projected_percent': '57.6', 'likelihood': 3}]",,False,0,2,2.5,2.5,11,Benjamin,11.0,10,False,,2026-07-23T12:01:23.305229Z,55,198869.jpg,11.0,False,White,5.0,False,,a,1,3,11,33706,33706,3870,3870,2.0,2.0,White,,241.0,2021-07-30,1997-10-08,False,p198869,90,0,1,1,0,0,0,0,0,0,0,2,37,0.0,0.0,0.0,0.0,4,3,1,5,1,0.18,0.21,0.39,0.20,,,,,,,[],,399.0,168.0,399.0,168.0,399.0,168.0,399.0,168.0,0.18,0.0,0.21,0.39,0.2,0.0,130.0,13.0,8.0,5.0,8.0,5.0,67.0,27.0,1.0,1.0,5.0,Arsenal,5.5
